index,SATechnique,propDepth,propMethod,threshold,heuristic,dailyAccs
NASDAQ,VADER1,0,1,0.0,7,0.05,"{'2018-04-02': 0.25, '2018-04-03': 0.3333333333333333, '2018-04-04': 0.5714285714285714, '2018-04-05': 0.47619047619047616, '2018-04-06': 0.29411764705882354, '2018-04-07': 0.29411764705882354, '2018-04-08': 0.29411764705882354, '2018-04-09': 0.29411764705882354}"
NASDAQ,VADER1,0,1,0.0,7,0.1,"{'2018-04-02': 0.25, '2018-04-03': 0.3333333333333333, '2018-04-04': 0.5714285714285714, '2018-04-05': 0.47619047619047616, '2018-04-06': 0.29411764705882354, '2018-04-07': 0.29411764705882354, '2018-04-08': 0.29411764705882354, '2018-04-09': 0.29411764705882354}"
NASDAQ,VADER1,0,1,0.1,1,0,"{'2018-04-02': 1.0, '2018-04-03': 1.0, '2018-04-04': 1.0, '2018-04-05': 0.9130434782608695, '2018-04-06': 0.6176470588235294, '2018-04-07': 0.6176470588235294, '2018-04-08': 0.6176470588235294, '2018-04-09': 0.6170212765957447}"
NASDAQ,VADER1,0,1,0.1,1,0.05,"{'2018-04-02': 0.25, '2018-04-03': 0.3333333333333333, '2018-04-04': 0.5714285714285714, '2018-04-05': 0.47619047619047616, '2018-04-06': 0.29411764705882354, '2018-04-07': 0.29411764705882354, '2018-04-08': 0.29411764705882354, '2018-04-09': 0.29411764705882354}"
NASDAQ,VADER1,0,1,0.1,1,0.1,"{'2018-04-02': 0.25, '2018-04-03': 0.3333333333333333, '2018-04-04': 0.5714285714285714, '2018-04-05': 0.47619047619047616, '2018-04-06': 0.29411764705882354, '2018-04-07': 0.29411764705882354, '2018-04-08': 0.29411764705882354, '2018-04-09': 0.29411764705882354}"
NASDAQ,VADER1,0,1,0.1,2,0,"{'2018-04-02': 1.0, '2018-04-03': 1.0, '2018-04-04': 1.0, '2018-04-05': 0.9130434782608695, '2018-04-06': 0.6176470588235294, '2018-04-07': 0.6176470588235294, '2018-04-08': 0.6176470588235294, '2018-04-09': 0.6170212765957447}"
NASDAQ,VADER1,0,1,0.1,2,0.05,"{'2018-04-02': 0.25, '2018-04-03': 0.3333333333333333, '2018-04-04': 0.5714285714285714, '2018-04-05': 0.47619047619047616, '2018-04-06': 0.29411764705882354, '2018-04-07': 0.29411764705882354, '2018-04-08': 0.29411764705882354, '2018-04-09': 0.29411764705882354}"
NASDAQ,VADER1,0,1,0.1,2,0.1,"{'2018-04-02': 0.25, '2018-04-03': 0.3333333333333333, '2018-04-04': 0.5714285714285714, '2018-04-05': 0.47619047619047616, '2018-04-06': 0.29411764705882354, '2018-04-07': 0.29411764705882354, '2018-04-08': 0.29411764705882354, '2018-04-09': 0.29411764705882354}"
NASDAQ,VADER1,0,1,0.1,3,0,"{'2018-04-02': 1.0, '2018-04-03': 1.0, '2018-04-04': 1.0, '2018-04-05': 0.9130434782608695, '2018-04-06': 0.6176470588235294, '2018-04-07': 0.6176470588235294, '2018-04-08': 0.6176470588235294, '2018-04-09': 0.6170212765957447}"
NASDAQ,VADER1,0,1,0.1,3,0.05,"{'2018-04-02': 0.25, '2018-04-03': 0.3333333333333333, '2018-04-04': 0.5714285714285714, '2018-04-05': 0.47619047619047616, '2018-04-06': 0.29411764705882354, '2018-04-07': 0.29411764705882354, '2018-04-08': 0.29411764705882354, '2018-04-09': 0.29411764705882354}"
NASDAQ,VADER1,0,1,0.1,3,0.1,"{'2018-04-02': 0.25, '2018-04-03': 0.3333333333333333, '2018-04-04': 0.5714285714285714, '2018-04-05': 0.47619047619047616, '2018-04-06': 0.29411764705882354, '2018-04-07': 0.29411764705882354, '2018-04-08': 0.29411764705882354, '2018-04-09': 0.29411764705882354}"
NASDAQ,VADER1,0,1,0.1,4,0,"{'2018-04-02': 1.0, '2018-04-03': 1.0, '2018-04-04': 1.0, '2018-04-05': 0.9130434782608695, '2018-04-06': 0.6176470588235294, '2018-04-07': 0.6176470588235294, '2018-04-08': 0.6176470588235294, '2018-04-09': 0.6170212765957447}"
NASDAQ,VADER1,0,1,0.1,4,0.05,"{'2018-04-02': 0.25, '2018-04-03': 0.3333333333333333, '2018-04-04': 0.5714285714285714, '2018-04-05': 0.47619047619047616, '2018-04-06': 0.29411764705882354, '2018-04-07': 0.29411764705882354, '2018-04-08': 0.29411764705882354, '2018-04-09': 0.29411764705882354}"
NASDAQ,VADER1,0,1,0.1,4,0.1,"{'2018-04-02': 0.25, '2018-04-03': 0.3333333333333333, '2018-04-04': 0.5714285714285714, '2018-04-05': 0.47619047619047616, '2018-04-06': 0.29411764705882354, '2018-04-07': 0.29411764705882354, '2018-04-08': 0.29411764705882354, '2018-04-09': 0.29411764705882354}"
NASDAQ,VADER1,0,1,0.1,5,0,"{'2018-04-02': 1.0, '2018-04-03': 1.0, '2018-04-04': 1.0, '2018-04-05': 0.9130434782608695, '2018-04-06': 0.6176470588235294, '2018-04-07': 0.6176470588235294, '2018-04-08': 0.6176470588235294, '2018-04-09': 0.6170212765957447}"
NASDAQ,VADER1,0,1,0.1,5,0.05,"{'2018-04-02': 0.25, '2018-04-03': 0.3333333333333333, '2018-04-04': 0.5714285714285714, '2018-04-05': 0.47619047619047616, '2018-04-06': 0.29411764705882354, '2018-04-07': 0.29411764705882354, '2018-04-08': 0.29411764705882354, '2018-04-09': 0.29411764705882354}"
NASDAQ,VADER1,0,1,0.1,5,0.1,"{'2018-04-02': 0.25, '2018-04-03': 0.3333333333333333, '2018-04-04': 0.5714285714285714, '2018-04-05': 0.47619047619047616, '2018-04-06': 0.29411764705882354, '2018-04-07': 0.29411764705882354, '2018-04-08': 0.29411764705882354, '2018-04-09': 0.29411764705882354}"
NASDAQ,VADER1,0,1,0.1,6,0,"{'2018-04-02': 1.0, '2018-04-03': 1.0, '2018-04-04': 1.0, '2018-04-05': 0.9130434782608695, '2018-04-06': 0.6176470588235294, '2018-04-07': 0.6176470588235294, '2018-04-08': 0.6176470588235294, '2018-04-09': 0.6170212765957447}"
NASDAQ,VADER1,0,1,0.1,6,0.05,"{'2018-04-02': 0.25, '2018-04-03': 0.3333333333333333, '2018-04-04': 0.5714285714285714, '2018-04-05': 0.47619047619047616, '2018-04-06': 0.29411764705882354, '2018-04-07': 0.29411764705882354, '2018-04-08': 0.29411764705882354, '2018-04-09': 0.29411764705882354}"
NASDAQ,VADER1,0,1,0.1,6,0.1,"{'2018-04-02': 0.25, '2018-04-03': 0.3333333333333333, '2018-04-04': 0.5714285714285714, '2018-04-05': 0.47619047619047616, '2018-04-06': 0.29411764705882354, '2018-04-07': 0.29411764705882354, '2018-04-08': 0.29411764705882354, '2018-04-09': 0.29411764705882354}"
NASDAQ,VADER1,0,1,0.1,7,0,"{'2018-04-02': 1.0, '2018-04-03': 1.0, '2018-04-04': 1.0, '2018-04-05': 0.9130434782608695, '2018-04-06': 0.6176470588235294, '2018-04-07': 0.6176470588235294, '2018-04-08': 0.6176470588235294, '2018-04-09': 0.6170212765957447}"
NASDAQ,VADER1,0,1,0.1,7,0.05,"{'2018-04-02': 0.25, '2018-04-03': 0.3333333333333333, '2018-04-04': 0.5714285714285714, '2018-04-05': 0.47619047619047616, '2018-04-06': 0.29411764705882354, '2018-04-07': 0.29411764705882354, '2018-04-08': 0.29411764705882354, '2018-04-09': 0.29411764705882354}"
NASDAQ,VADER1,0,1,0.1,7,0.1,"{'2018-04-02': 0.25, '2018-04-03': 0.3333333333333333, '2018-04-04': 0.5714285714285714, '2018-04-05': 0.47619047619047616, '2018-04-06': 0.29411764705882354, '2018-04-07': 0.29411764705882354, '2018-04-08': 0.29411764705882354, '2018-04-09': 0.29411764705882354}"
NASDAQ,VADER1,0,1,0.2,1,0,"{'2018-04-02': 1.0, '2018-04-03': 1.0, '2018-04-04': 1.0, '2018-04-05': 0.9130434782608695, '2018-04-06': 0.6176470588235294, '2018-04-07': 0.6176470588235294, '2018-04-08': 0.6176470588235294, '2018-04-09': 0.6170212765957447}"
NASDAQ,VADER1,0,1,0.2,1,0.05,"{'2018-04-02': 0.25, '2018-04-03': 0.3333333333333333, '2018-04-04': 0.5714285714285714, '2018-04-05': 0.47619047619047616, '2018-04-06': 0.29411764705882354, '2018-04-07': 0.29411764705882354, '2018-04-08': 0.29411764705882354, '2018-04-09': 0.29411764705882354}"
NASDAQ,VADER1,0,1,0.2,1,0.1,"{'2018-04-02': 0.25, '2018-04-03': 0.3333333333333333, '2018-04-04': 0.5714285714285714, '2018-04-05': 0.47619047619047616, '2018-04-06': 0.29411764705882354, '2018-04-07': 0.29411764705882354, '2018-04-08': 0.29411764705882354, '2018-04-09': 0.29411764705882354}"
NASDAQ,VADER1,0,1,0.2,2,0,"{'2018-04-02': 1.0, '2018-04-03': 1.0, '2018-04-04': 1.0, '2018-04-05': 0.9130434782608695, '2018-04-06': 0.6176470588235294, '2018-04-07': 0.6176470588235294, '2018-04-08': 0.6176470588235294, '2018-04-09': 0.6170212765957447}"
NASDAQ,VADER1,0,1,0.2,2,0.05,"{'2018-04-02': 0.25, '2018-04-03': 0.3333333333333333, '2018-04-04': 0.5714285714285714, '2018-04-05': 0.47619047619047616, '2018-04-06': 0.29411764705882354, '2018-04-07': 0.29411764705882354, '2018-04-08': 0.29411764705882354, '2018-04-09': 0.29411764705882354}"
NASDAQ,VADER1,0,1,0.2,2,0.1,"{'2018-04-02': 0.25, '2018-04-03': 0.3333333333333333, '2018-04-04': 0.5714285714285714, '2018-04-05': 0.47619047619047616, '2018-04-06': 0.29411764705882354, '2018-04-07': 0.29411764705882354, '2018-04-08': 0.29411764705882354, '2018-04-09': 0.29411764705882354}"
NASDAQ,VADER1,0,1,0.2,3,0,"{'2018-04-02': 1.0, '2018-04-03': 1.0, '2018-04-04': 1.0, '2018-04-05': 0.9130434782608695, '2018-04-06': 0.6176470588235294, '2018-04-07': 0.6176470588235294, '2018-04-08': 0.6176470588235294, '2018-04-09': 0.6170212765957447}"
NASDAQ,VADER1,0,1,0.2,3,0.05,"{'2018-04-02': 0.25, '2018-04-03': 0.3333333333333333, '2018-04-04': 0.5714285714285714, '2018-04-05': 0.47619047619047616, '2018-04-06': 0.29411764705882354, '2018-04-07': 0.29411764705882354, '2018-04-08': 0.29411764705882354, '2018-04-09': 0.29411764705882354}"
NASDAQ,VADER1,0,1,0.2,3,0.1,"{'2018-04-02': 0.25, '2018-04-03': 0.3333333333333333, '2018-04-04': 0.5714285714285714, '2018-04-05': 0.47619047619047616, '2018-04-06': 0.29411764705882354, '2018-04-07': 0.29411764705882354, '2018-04-08': 0.29411764705882354, '2018-04-09': 0.29411764705882354}"
NASDAQ,VADER1,0,1,0.2,4,0,"{'2018-04-02': 1.0, '2018-04-03': 1.0, '2018-04-04': 1.0, '2018-04-05': 0.9130434782608695, '2018-04-06': 0.6176470588235294, '2018-04-07': 0.6176470588235294, '2018-04-08': 0.6176470588235294, '2018-04-09': 0.6170212765957447}"
NASDAQ,VADER1,0,1,0.2,4,0.05,"{'2018-04-02': 0.25, '2018-04-03': 0.3333333333333333, '2018-04-04': 0.5714285714285714, '2018-04-05': 0.47619047619047616, '2018-04-06': 0.29411764705882354, '2018-04-07': 0.29411764705882354, '2018-04-08': 0.29411764705882354, '2018-04-09': 0.29411764705882354}"
NASDAQ,VADER1,0,1,0.2,4,0.1,"{'2018-04-02': 0.25, '2018-04-03': 0.3333333333333333, '2018-04-04': 0.5714285714285714, '2018-04-05': 0.47619047619047616, '2018-04-06': 0.29411764705882354, '2018-04-07': 0.29411764705882354, '2018-04-08': 0.29411764705882354, '2018-04-09': 0.29411764705882354}"
NASDAQ,VADER1,0,1,0.2,5,0,"{'2018-04-02': 1.0, '2018-04-03': 1.0, '2018-04-04': 1.0, '2018-04-05': 0.9130434782608695, '2018-04-06': 0.6176470588235294, '2018-04-07': 0.6176470588235294, '2018-04-08': 0.6176470588235294, '2018-04-09': 0.6170212765957447}"
NASDAQ,VADER1,0,1,0.2,5,0.05,"{'2018-04-02': 0.25, '2018-04-03': 0.3333333333333333, '2018-04-04': 0.5714285714285714, '2018-04-05': 0.47619047619047616, '2018-04-06': 0.29411764705882354, '2018-04-07': 0.29411764705882354, '2018-04-08': 0.29411764705882354, '2018-04-09': 0.29411764705882354}"
NASDAQ,VADER1,0,1,0.2,5,0.1,"{'2018-04-02': 0.25, '2018-04-03': 0.3333333333333333, '2018-04-04': 0.5714285714285714, '2018-04-05': 0.47619047619047616, '2018-04-06': 0.29411764705882354, '2018-04-07': 0.29411764705882354, '2018-04-08': 0.29411764705882354, '2018-04-09': 0.29411764705882354}"
NASDAQ,VADER1,0,1,0.2,6,0,"{'2018-04-02': 1.0, '2018-04-03': 1.0, '2018-04-04': 1.0, '2018-04-05': 0.9130434782608695, '2018-04-06': 0.6176470588235294, '2018-04-07': 0.6176470588235294, '2018-04-08': 0.6176470588235294, '2018-04-09': 0.6170212765957447}"
NASDAQ,VADER1,0,1,0.2,6,0.05,"{'2018-04-02': 0.25, '2018-04-03': 0.3333333333333333, '2018-04-04': 0.5714285714285714, '2018-04-05': 0.47619047619047616, '2018-04-06': 0.29411764705882354, '2018-04-07': 0.29411764705882354, '2018-04-08': 0.29411764705882354, '2018-04-09': 0.29411764705882354}"
NASDAQ,VADER1,0,1,0.2,6,0.1,"{'2018-04-02': 0.25, '2018-04-03': 0.3333333333333333, '2018-04-04': 0.5714285714285714, '2018-04-05': 0.47619047619047616, '2018-04-06': 0.29411764705882354, '2018-04-07': 0.29411764705882354, '2018-04-08': 0.29411764705882354, '2018-04-09': 0.29411764705882354}"
NASDAQ,VADER1,0,1,0.2,7,0,"{'2018-04-02': 1.0, '2018-04-03': 1.0, '2018-04-04': 1.0, '2018-04-05': 0.9130434782608695, '2018-04-06': 0.6176470588235294, '2018-04-07': 0.6176470588235294, '2018-04-08': 0.6176470588235294, '2018-04-09': 0.6170212765957447}"
NASDAQ,VADER1,0,1,0.2,7,0.05,"{'2018-04-02': 0.25, '2018-04-03': 0.3333333333333333, '2018-04-04': 0.5714285714285714, '2018-04-05': 0.47619047619047616, '2018-04-06': 0.29411764705882354, '2018-04-07': 0.29411764705882354, '2018-04-08': 0.29411764705882354, '2018-04-09': 0.29411764705882354}"
NASDAQ,VADER1,0,1,0.2,7,0.1,"{'2018-04-02': 0.25, '2018-04-03': 0.3333333333333333, '2018-04-04': 0.5714285714285714, '2018-04-05': 0.47619047619047616, '2018-04-06': 0.29411764705882354, '2018-04-07': 0.29411764705882354, '2018-04-08': 0.29411764705882354, '2018-04-09': 0.29411764705882354}"
NASDAQ,VADER1,0,1,0.3,1,0,"{'2018-04-02': 1.0, '2018-04-03': 1.0, '2018-04-04': 1.0, '2018-04-05': 0.9130434782608695, '2018-04-06': 0.6176470588235294, '2018-04-07': 0.6176470588235294, '2018-04-08': 0.6176470588235294, '2018-04-09': 0.6170212765957447}"
NASDAQ,VADER1,0,1,0.3,1,0.05,"{'2018-04-02': 0.25, '2018-04-03': 0.3333333333333333, '2018-04-04': 0.5714285714285714, '2018-04-05': 0.47619047619047616, '2018-04-06': 0.29411764705882354, '2018-04-07': 0.29411764705882354, '2018-04-08': 0.29411764705882354, '2018-04-09': 0.29411764705882354}"
NASDAQ,VADER1,0,1,0.3,1,0.1,"{'2018-04-02': 0.25, '2018-04-03': 0.3333333333333333, '2018-04-04': 0.5714285714285714, '2018-04-05': 0.47619047619047616, '2018-04-06': 0.29411764705882354, '2018-04-07': 0.29411764705882354, '2018-04-08': 0.29411764705882354, '2018-04-09': 0.29411764705882354}"
NASDAQ,VADER1,0,1,0.3,2,0,"{'2018-04-02': 1.0, '2018-04-03': 1.0, '2018-04-04': 1.0, '2018-04-05': 0.9130434782608695, '2018-04-06': 0.6176470588235294, '2018-04-07': 0.6176470588235294, '2018-04-08': 0.6176470588235294, '2018-04-09': 0.6170212765957447}"
NASDAQ,VADER1,0,1,0.3,2,0.05,"{'2018-04-02': 0.25, '2018-04-03': 0.3333333333333333, '2018-04-04': 0.5714285714285714, '2018-04-05': 0.47619047619047616, '2018-04-06': 0.29411764705882354, '2018-04-07': 0.29411764705882354, '2018-04-08': 0.29411764705882354, '2018-04-09': 0.29411764705882354}"
NASDAQ,VADER1,0,1,0.3,2,0.1,"{'2018-04-02': 0.25, '2018-04-03': 0.3333333333333333, '2018-04-04': 0.5714285714285714, '2018-04-05': 0.47619047619047616, '2018-04-06': 0.29411764705882354, '2018-04-07': 0.29411764705882354, '2018-04-08': 0.29411764705882354, '2018-04-09': 0.29411764705882354}"
NASDAQ,VADER1,0,1,0.3,3,0,"{'2018-04-02': 1.0, '2018-04-03': 1.0, '2018-04-04': 1.0, '2018-04-05': 0.9130434782608695, '2018-04-06': 0.6176470588235294, '2018-04-07': 0.6176470588235294, '2018-04-08': 0.6176470588235294, '2018-04-09': 0.6170212765957447}"
NASDAQ,VADER1,0,1,0.3,3,0.05,"{'2018-04-02': 0.25, '2018-04-03': 0.3333333333333333, '2018-04-04': 0.5714285714285714, '2018-04-05': 0.47619047619047616, '2018-04-06': 0.29411764705882354, '2018-04-07': 0.29411764705882354, '2018-04-08': 0.29411764705882354, '2018-04-09': 0.29411764705882354}"
NASDAQ,VADER1,0,1,0.3,3,0.1,"{'2018-04-02': 0.25, '2018-04-03': 0.3333333333333333, '2018-04-04': 0.5714285714285714, '2018-04-05': 0.47619047619047616, '2018-04-06': 0.29411764705882354, '2018-04-07': 0.29411764705882354, '2018-04-08': 0.29411764705882354, '2018-04-09': 0.29411764705882354}"
NASDAQ,VADER1,0,1,0.3,4,0,"{'2018-04-02': 1.0, '2018-04-03': 1.0, '2018-04-04': 1.0, '2018-04-05': 0.9130434782608695, '2018-04-06': 0.6176470588235294, '2018-04-07': 0.6176470588235294, '2018-04-08': 0.6176470588235294, '2018-04-09': 0.6170212765957447}"
NASDAQ,VADER1,0,1,0.3,4,0.05,"{'2018-04-02': 0.25, '2018-04-03': 0.3333333333333333, '2018-04-04': 0.5714285714285714, '2018-04-05': 0.47619047619047616, '2018-04-06': 0.29411764705882354, '2018-04-07': 0.29411764705882354, '2018-04-08': 0.29411764705882354, '2018-04-09': 0.29411764705882354}"
NASDAQ,VADER1,0,1,0.3,4,0.1,"{'2018-04-02': 0.25, '2018-04-03': 0.3333333333333333, '2018-04-04': 0.5714285714285714, '2018-04-05': 0.47619047619047616, '2018-04-06': 0.29411764705882354, '2018-04-07': 0.29411764705882354, '2018-04-08': 0.29411764705882354, '2018-04-09': 0.29411764705882354}"
NASDAQ,VADER1,0,1,0.3,5,0,"{'2018-04-02': 1.0, '2018-04-03': 1.0, '2018-04-04': 1.0, '2018-04-05': 0.9130434782608695, '2018-04-06': 0.6176470588235294, '2018-04-07': 0.6176470588235294, '2018-04-08': 0.6176470588235294, '2018-04-09': 0.6170212765957447}"
NASDAQ,VADER1,0,1,0.3,5,0.05,"{'2018-04-02': 0.25, '2018-04-03': 0.3333333333333333, '2018-04-04': 0.5714285714285714, '2018-04-05': 0.47619047619047616, '2018-04-06': 0.29411764705882354, '2018-04-07': 0.29411764705882354, '2018-04-08': 0.29411764705882354, '2018-04-09': 0.29411764705882354}"
NASDAQ,VADER1,0,1,0.3,5,0.1,"{'2018-04-02': 0.25, '2018-04-03': 0.3333333333333333, '2018-04-04': 0.5714285714285714, '2018-04-05': 0.47619047619047616, '2018-04-06': 0.29411764705882354, '2018-04-07': 0.29411764705882354, '2018-04-08': 0.29411764705882354, '2018-04-09': 0.29411764705882354}"
NASDAQ,VADER1,0,1,0.3,6,0,"{'2018-04-02': 1.0, '2018-04-03': 1.0, '2018-04-04': 1.0, '2018-04-05': 0.9130434782608695, '2018-04-06': 0.6176470588235294, '2018-04-07': 0.6176470588235294, '2018-04-08': 0.6176470588235294, '2018-04-09': 0.6170212765957447}"
NASDAQ,VADER1,0,1,0.3,6,0.05,"{'2018-04-02': 0.25, '2018-04-03': 0.3333333333333333, '2018-04-04': 0.5714285714285714, '2018-04-05': 0.47619047619047616, '2018-04-06': 0.29411764705882354, '2018-04-07': 0.29411764705882354, '2018-04-08': 0.29411764705882354, '2018-04-09': 0.29411764705882354}"
NASDAQ,VADER1,0,1,0.3,6,0.1,"{'2018-04-02': 0.25, '2018-04-03': 0.3333333333333333, '2018-04-04': 0.5714285714285714, '2018-04-05': 0.47619047619047616, '2018-04-06': 0.29411764705882354, '2018-04-07': 0.29411764705882354, '2018-04-08': 0.29411764705882354, '2018-04-09': 0.29411764705882354}"
NASDAQ,VADER1,0,1,0.3,7,0,"{'2018-04-02': 1.0, '2018-04-03': 1.0, '2018-04-04': 1.0, '2018-04-05': 0.9130434782608695, '2018-04-06': 0.6176470588235294, '2018-04-07': 0.6176470588235294, '2018-04-08': 0.6176470588235294, '2018-04-09': 0.6170212765957447}"
NASDAQ,VADER1,0,1,0.3,7,0.05,"{'2018-04-02': 0.25, '2018-04-03': 0.3333333333333333, '2018-04-04': 0.5714285714285714, '2018-04-05': 0.47619047619047616, '2018-04-06': 0.29411764705882354, '2018-04-07': 0.29411764705882354, '2018-04-08': 0.29411764705882354, '2018-04-09': 0.29411764705882354}"
NASDAQ,VADER1,0,1,0.3,7,0.1,"{'2018-04-02': 0.25, '2018-04-03': 0.3333333333333333, '2018-04-04': 0.5714285714285714, '2018-04-05': 0.47619047619047616, '2018-04-06': 0.29411764705882354, '2018-04-07': 0.29411764705882354, '2018-04-08': 0.29411764705882354, '2018-04-09': 0.29411764705882354}"
