index,SATechnique,propDepth,propMethod,threshold,heuristic,dailyAccs,predictionThreshold
NASDAQ,VADER1,0,1,0.0,5,0.05,"{'2018-04-02': (1.0, 4), '2018-04-03': (0.7, 10), '2018-04-04': (0.28, 25), '2018-04-05': (0.3409090909090909, 44), '2018-04-06': (0.5735294117647058, 68), '2018-04-07': (0.5735294117647058, 68), '2018-04-08': (0.5735294117647058, 68), '2018-04-09': (0.6082474226804123, 97)}"

NASDAQ,VADER1,0,1,0.0,5,0.05,"{'2020-01-13': (0.3, 10), '2020-01-14': (0.35714285714285715, 28), '2020-01-15': (0.43636363636363634, 55), '2020-01-16': (0.4235294117647059, 85), '2020-01-17': (0.5, 118), '2020-01-18': (0.5, 118), '2020-01-19': (0.5, 118)}"

NASDAQ,VADER1,0,1,0.0,5,0.05,"{'2018-04-03': (0, 0), '2018-04-04': (0, 0), '2018-04-05': (0, 0), '2018-04-06': (0, 0), '2018-04-07': (0, 0), '2018-04-08': (0, 0)}"

NASDAQ,VADER1,0,1,0.0,5,0.05,"{'2020-01-13': (0, 0), '2020-01-14': (0, 0), '2020-01-15': (0, 0), '2020-01-16': (0, 0), '2020-01-17': (0, 0), '2020-01-18': (0, 0), '2020-01-19': (0, 0)}"

NASDAQ,VADER1,0,1,0.0,5,0.075,"{'2018-04-02': (1.0, 4), '2018-04-03': (0.7, 10), '2018-04-04': (0.28, 25), '2018-04-05': (0.36363636363636365, 44), '2018-04-06': (0.5882352941176471, 68), '2018-04-07': (0.5882352941176471, 68), '2018-04-08': (0.5882352941176471, 68), '2018-04-09': (0.6288659793814433, 97)}"

NASDAQ,VADER1,0,1,0.0,5,0.075,"{'2020-01-13': (0.3, 10), '2020-01-14': (0.42857142857142855, 28), '2020-01-15': (0.5272727272727272, 55), '2020-01-16': (0.4588235294117647, 85), '2020-01-17': (0.5169491525423728, 118), '2020-01-18': (0.5169491525423728, 118), '2020-01-19': (0.5169491525423728, 118)}"

NASDAQ,VADER1,0,1,0.0,5,0.075,"{'2018-04-03': (0, 0), '2018-04-04': (0, 0), '2018-04-05': (0, 0), '2018-04-06': (0, 0), '2018-04-07': (0, 0), '2018-04-08': (0, 0)}"

NASDAQ,VADER1,0,1,0.0,5,0.075,"{'2020-01-13': (0, 0), '2020-01-14': (0, 0), '2020-01-15': (0, 0), '2020-01-16': (0, 0), '2020-01-17': (0, 0), '2020-01-18': (0, 0), '2020-01-19': (0, 0)}"

NASDAQ,VADER1,0,1,0.0,5,0.1,"{'2018-04-02': (1.0, 4), '2018-04-03': (0.7, 10), '2018-04-04': (0.28, 25), '2018-04-05': (0.36363636363636365, 44), '2018-04-06': (0.5882352941176471, 68), '2018-04-07': (0.5882352941176471, 68), '2018-04-08': (0.5882352941176471, 68), '2018-04-09': (0.6288659793814433, 97)}"

NASDAQ,VADER1,0,1,0.0,5,0.1,"{'2020-01-13': (0.4, 10), '2020-01-14': (0.4642857142857143, 28), '2020-01-15': (0.5272727272727272, 55), '2020-01-16': (0.47058823529411764, 85), '2020-01-17': (0.5338983050847458, 118), '2020-01-18': (0.5338983050847458, 118), '2020-01-19': (0.5338983050847458, 118)}"

NASDAQ,VADER1,0,1,0.0,5,0.1,"{'2018-04-03': (0, 0), '2018-04-04': (0, 0), '2018-04-05': (0, 0), '2018-04-06': (0, 0), '2018-04-07': (0, 0), '2018-04-08': (0, 0)}"

NASDAQ,VADER1,0,1,0.0,5,0.1,"{'2020-01-13': (0, 0), '2020-01-14': (0, 0), '2020-01-15': (0, 0), '2020-01-16': (0, 0), '2020-01-17': (0, 0), '2020-01-18': (0, 0), '2020-01-19': (0, 0)}"

NASDAQ,VADER1,0,1,0.0,5,0.125,"{'2018-04-02': (1.0, 4), '2018-04-03': (0.7, 10), '2018-04-04': (0.28, 25), '2018-04-05': (0.36363636363636365, 44), '2018-04-06': (0.5882352941176471, 68), '2018-04-07': (0.5882352941176471, 68), '2018-04-08': (0.5882352941176471, 68), '2018-04-09': (0.6288659793814433, 97)}"

NASDAQ,VADER1,0,1,0.0,5,0.125,"{'2020-01-13': (0.4, 10), '2020-01-14': (0.4642857142857143, 28), '2020-01-15': (0.5272727272727272, 55), '2020-01-16': (0.47058823529411764, 85), '2020-01-17': (0.5254237288135594, 118), '2020-01-18': (0.5254237288135594, 118), '2020-01-19': (0.5254237288135594, 118)}"

NASDAQ,VADER1,0,1,0.0,5,0.125,"{'2018-04-03': (0, 0), '2018-04-04': (0, 0), '2018-04-05': (0, 0), '2018-04-06': (0, 0), '2018-04-07': (0, 0), '2018-04-08': (0, 0)}"

NASDAQ,VADER1,0,1,0.0,5,0.125,"{'2020-01-13': (0, 0), '2020-01-14': (0, 0), '2020-01-15': (0, 0), '2020-01-16': (0, 0), '2020-01-17': (0, 0), '2020-01-18': (0, 0), '2020-01-19': (0, 0)}"

NASDAQ,VADER1,0,1,0.0,5,0.15,"{'2018-04-02': (1.0, 4), '2018-04-03': (0.8, 10), '2018-04-04': (0.32, 25), '2018-04-05': (0.4318181818181818, 44), '2018-04-06': (0.6323529411764706, 68), '2018-04-07': (0.6323529411764706, 68), '2018-04-08': (0.6323529411764706, 68), '2018-04-09': (0.6597938144329897, 97)}"

NASDAQ,VADER1,0,1,0.0,5,0.15,"{'2020-01-13': (0.4, 10), '2020-01-14': (0.4642857142857143, 28), '2020-01-15': (0.5272727272727272, 55), '2020-01-16': (0.4588235294117647, 85), '2020-01-17': (0.5084745762711864, 118), '2020-01-18': (0.5084745762711864, 118), '2020-01-19': (0.5084745762711864, 118)}"

NASDAQ,VADER1,0,1,0.0,5,0.15,"{'2018-04-03': (0, 0), '2018-04-04': (0, 0), '2018-04-05': (0, 0), '2018-04-06': (0, 0), '2018-04-07': (0, 0), '2018-04-08': (0, 0)}"

NASDAQ,VADER1,0,1,0.0,5,0.15,"{'2020-01-13': (0, 0), '2020-01-14': (0, 0), '2020-01-15': (0, 0), '2020-01-16': (0, 0), '2020-01-17': (0, 0), '2020-01-18': (0, 0), '2020-01-19': (0, 0)}"

NASDAQ,VADER1,0,1,0.1,2,0.05,"{'2018-04-02': (1.0, 4), '2018-04-03': (0.7, 10), '2018-04-04': (0.28, 25), '2018-04-05': (0.3409090909090909, 44), '2018-04-06': (0.5735294117647058, 68), '2018-04-07': (0.5735294117647058, 68), '2018-04-08': (0.5735294117647058, 68), '2018-04-09': (0.6082474226804123, 97)}"

NASDAQ,VADER1,0,1,0.1,2,0.05,"{'2020-01-13': (0.3, 10), '2020-01-14': (0.35714285714285715, 28), '2020-01-15': (0.43636363636363634, 55), '2020-01-16': (0.4235294117647059, 85), '2020-01-17': (0.5, 118), '2020-01-18': (0.5, 118), '2020-01-19': (0.5, 118)}"

NASDAQ,VADER1,0,1,0.1,2,0.05,"{'2018-04-03': (0, 0), '2018-04-04': (0, 0), '2018-04-05': (0, 0), '2018-04-06': (0, 0), '2018-04-07': (0, 0), '2018-04-08': (0, 0)}"

NASDAQ,VADER1,0,1,0.1,2,0.05,"{'2020-01-13': (0, 0), '2020-01-14': (0, 0), '2020-01-15': (0, 0), '2020-01-16': (0, 0), '2020-01-17': (0, 0), '2020-01-18': (0, 0), '2020-01-19': (0, 0)}"

NASDAQ,VADER1,0,1,0.1,2,0.075,"{'2018-04-02': (1.0, 4), '2018-04-03': (0.7, 10), '2018-04-04': (0.28, 25), '2018-04-05': (0.36363636363636365, 44), '2018-04-06': (0.5882352941176471, 68), '2018-04-07': (0.5882352941176471, 68), '2018-04-08': (0.5882352941176471, 68), '2018-04-09': (0.6288659793814433, 97)}"

NASDAQ,VADER1,0,1,0.1,2,0.075,"{'2020-01-13': (0.3, 10), '2020-01-14': (0.42857142857142855, 28), '2020-01-15': (0.5272727272727272, 55), '2020-01-16': (0.4588235294117647, 85), '2020-01-17': (0.5169491525423728, 118), '2020-01-18': (0.5169491525423728, 118), '2020-01-19': (0.5169491525423728, 118)}"

NASDAQ,VADER1,0,1,0.1,2,0.075,"{'2018-04-03': (0, 0), '2018-04-04': (0, 0), '2018-04-05': (0, 0), '2018-04-06': (0, 0), '2018-04-07': (0, 0), '2018-04-08': (0, 0)}"

NASDAQ,VADER1,0,1,0.1,2,0.075,"{'2020-01-13': (0, 0), '2020-01-14': (0, 0), '2020-01-15': (0, 0), '2020-01-16': (0, 0), '2020-01-17': (0, 0), '2020-01-18': (0, 0), '2020-01-19': (0, 0)}"

NASDAQ,VADER1,0,1,0.1,2,0.1,"{'2018-04-02': (1.0, 4), '2018-04-03': (0.7, 10), '2018-04-04': (0.28, 25), '2018-04-05': (0.36363636363636365, 44), '2018-04-06': (0.5882352941176471, 68), '2018-04-07': (0.5882352941176471, 68), '2018-04-08': (0.5882352941176471, 68), '2018-04-09': (0.6288659793814433, 97)}"

NASDAQ,VADER1,0,1,0.1,2,0.1,"{'2020-01-13': (0.4, 10), '2020-01-14': (0.4642857142857143, 28), '2020-01-15': (0.5272727272727272, 55), '2020-01-16': (0.47058823529411764, 85), '2020-01-17': (0.5338983050847458, 118), '2020-01-18': (0.5338983050847458, 118), '2020-01-19': (0.5338983050847458, 118)}"

NASDAQ,VADER1,0,1,0.1,2,0.1,"{'2018-04-03': (0, 0), '2018-04-04': (0, 0), '2018-04-05': (0, 0), '2018-04-06': (0, 0), '2018-04-07': (0, 0), '2018-04-08': (0, 0)}"

NASDAQ,VADER1,0,1,0.1,2,0.1,"{'2020-01-13': (0, 0), '2020-01-14': (0, 0), '2020-01-15': (0, 0), '2020-01-16': (0, 0), '2020-01-17': (0, 0), '2020-01-18': (0, 0), '2020-01-19': (0, 0)}"

NASDAQ,VADER1,0,1,0.1,2,0.125,"{'2018-04-02': (1.0, 4), '2018-04-03': (0.7, 10), '2018-04-04': (0.28, 25), '2018-04-05': (0.36363636363636365, 44), '2018-04-06': (0.5882352941176471, 68), '2018-04-07': (0.5882352941176471, 68), '2018-04-08': (0.5882352941176471, 68), '2018-04-09': (0.6288659793814433, 97)}"

NASDAQ,VADER1,0,1,0.1,2,0.125,"{'2020-01-13': (0.4, 10), '2020-01-14': (0.4642857142857143, 28), '2020-01-15': (0.5272727272727272, 55), '2020-01-16': (0.47058823529411764, 85), '2020-01-17': (0.5254237288135594, 118), '2020-01-18': (0.5254237288135594, 118), '2020-01-19': (0.5254237288135594, 118)}"

NASDAQ,VADER1,0,1,0.1,2,0.125,"{'2018-04-03': (0, 0), '2018-04-04': (0, 0), '2018-04-05': (0, 0), '2018-04-06': (0, 0), '2018-04-07': (0, 0), '2018-04-08': (0, 0)}"

NASDAQ,VADER1,0,1,0.1,2,0.125,"{'2020-01-13': (0, 0), '2020-01-14': (0, 0), '2020-01-15': (0, 0), '2020-01-16': (0, 0), '2020-01-17': (0, 0), '2020-01-18': (0, 0), '2020-01-19': (0, 0)}"

NASDAQ,VADER1,0,1,0.1,2,0.15,"{'2018-04-02': (1.0, 4), '2018-04-03': (0.8, 10), '2018-04-04': (0.32, 25), '2018-04-05': (0.4318181818181818, 44), '2018-04-06': (0.6323529411764706, 68), '2018-04-07': (0.6323529411764706, 68), '2018-04-08': (0.6323529411764706, 68), '2018-04-09': (0.6597938144329897, 97)}"

NASDAQ,VADER1,0,1,0.1,2,0.15,"{'2020-01-13': (0.4, 10), '2020-01-14': (0.4642857142857143, 28), '2020-01-15': (0.5272727272727272, 55), '2020-01-16': (0.4588235294117647, 85), '2020-01-17': (0.5084745762711864, 118), '2020-01-18': (0.5084745762711864, 118), '2020-01-19': (0.5084745762711864, 118)}"

NASDAQ,VADER1,0,1,0.1,2,0.15,"{'2018-04-03': (0, 0), '2018-04-04': (0, 0), '2018-04-05': (0, 0), '2018-04-06': (0, 0), '2018-04-07': (0, 0), '2018-04-08': (0, 0)}"

NASDAQ,VADER1,0,1,0.1,2,0.15,"{'2020-01-13': (0, 0), '2020-01-14': (0, 0), '2020-01-15': (0, 0), '2020-01-16': (0, 0), '2020-01-17': (0, 0), '2020-01-18': (0, 0), '2020-01-19': (0, 0)}"

NASDAQ,VADER1,0,1,0.1,5,0.05,"{'2018-04-02': (1.0, 4), '2018-04-03': (0.7, 10), '2018-04-04': (0.28, 25), '2018-04-05': (0.3409090909090909, 44), '2018-04-06': (0.5735294117647058, 68), '2018-04-07': (0.5735294117647058, 68), '2018-04-08': (0.5735294117647058, 68), '2018-04-09': (0.6082474226804123, 97)}"

NASDAQ,VADER1,0,1,0.1,5,0.05,"{'2020-01-13': (0.3, 10), '2020-01-14': (0.35714285714285715, 28), '2020-01-15': (0.43636363636363634, 55), '2020-01-16': (0.4235294117647059, 85), '2020-01-17': (0.5, 118), '2020-01-18': (0.5, 118), '2020-01-19': (0.5, 118)}"

NASDAQ,VADER1,0,1,0.1,5,0.05,"{'2018-04-03': (0, 0), '2018-04-04': (0, 0), '2018-04-05': (0, 0), '2018-04-06': (0, 0), '2018-04-07': (0, 0), '2018-04-08': (0, 0)}"

NASDAQ,VADER1,0,1,0.1,5,0.05,"{'2020-01-13': (0, 0), '2020-01-14': (0, 0), '2020-01-15': (0, 0), '2020-01-16': (0, 0), '2020-01-17': (0, 0), '2020-01-18': (0, 0), '2020-01-19': (0, 0)}"

NASDAQ,VADER1,0,1,0.1,5,0.075,"{'2018-04-02': (1.0, 4), '2018-04-03': (0.7, 10), '2018-04-04': (0.28, 25), '2018-04-05': (0.36363636363636365, 44), '2018-04-06': (0.5882352941176471, 68), '2018-04-07': (0.5882352941176471, 68), '2018-04-08': (0.5882352941176471, 68), '2018-04-09': (0.6288659793814433, 97)}"

NASDAQ,VADER1,0,1,0.1,5,0.075,"{'2020-01-13': (0.3, 10), '2020-01-14': (0.42857142857142855, 28), '2020-01-15': (0.5272727272727272, 55), '2020-01-16': (0.4588235294117647, 85), '2020-01-17': (0.5169491525423728, 118), '2020-01-18': (0.5169491525423728, 118), '2020-01-19': (0.5169491525423728, 118)}"

NASDAQ,VADER1,0,1,0.1,5,0.075,"{'2018-04-03': (0, 0), '2018-04-04': (0, 0), '2018-04-05': (0, 0), '2018-04-06': (0, 0), '2018-04-07': (0, 0), '2018-04-08': (0, 0)}"

NASDAQ,VADER1,0,1,0.1,5,0.075,"{'2020-01-13': (0, 0), '2020-01-14': (0, 0), '2020-01-15': (0, 0), '2020-01-16': (0, 0), '2020-01-17': (0, 0), '2020-01-18': (0, 0), '2020-01-19': (0, 0)}"

NASDAQ,VADER1,0,1,0.1,5,0.1,"{'2018-04-02': (1.0, 4), '2018-04-03': (0.7, 10), '2018-04-04': (0.28, 25), '2018-04-05': (0.36363636363636365, 44), '2018-04-06': (0.5882352941176471, 68), '2018-04-07': (0.5882352941176471, 68), '2018-04-08': (0.5882352941176471, 68), '2018-04-09': (0.6288659793814433, 97)}"

NASDAQ,VADER1,0,1,0.1,5,0.1,"{'2020-01-13': (0.4, 10), '2020-01-14': (0.4642857142857143, 28), '2020-01-15': (0.5272727272727272, 55), '2020-01-16': (0.47058823529411764, 85), '2020-01-17': (0.5338983050847458, 118), '2020-01-18': (0.5338983050847458, 118), '2020-01-19': (0.5338983050847458, 118)}"

NASDAQ,VADER1,0,1,0.1,5,0.1,"{'2018-04-03': (0, 0), '2018-04-04': (0, 0), '2018-04-05': (0, 0), '2018-04-06': (0, 0), '2018-04-07': (0, 0), '2018-04-08': (0, 0)}"

NASDAQ,VADER1,0,1,0.1,5,0.1,"{'2020-01-13': (0, 0), '2020-01-14': (0, 0), '2020-01-15': (0, 0), '2020-01-16': (0, 0), '2020-01-17': (0, 0), '2020-01-18': (0, 0), '2020-01-19': (0, 0)}"

NASDAQ,VADER1,0,1,0.1,5,0.125,"{'2018-04-02': (1.0, 4), '2018-04-03': (0.7, 10), '2018-04-04': (0.28, 25), '2018-04-05': (0.36363636363636365, 44), '2018-04-06': (0.5882352941176471, 68), '2018-04-07': (0.5882352941176471, 68), '2018-04-08': (0.5882352941176471, 68), '2018-04-09': (0.6288659793814433, 97)}"

NASDAQ,VADER1,0,1,0.1,5,0.125,"{'2020-01-13': (0.4, 10), '2020-01-14': (0.4642857142857143, 28), '2020-01-15': (0.5272727272727272, 55), '2020-01-16': (0.47058823529411764, 85), '2020-01-17': (0.5254237288135594, 118), '2020-01-18': (0.5254237288135594, 118), '2020-01-19': (0.5254237288135594, 118)}"

NASDAQ,VADER1,0,1,0.1,5,0.125,"{'2018-04-03': (0, 0), '2018-04-04': (0, 0), '2018-04-05': (0, 0), '2018-04-06': (0, 0), '2018-04-07': (0, 0), '2018-04-08': (0, 0)}"

NASDAQ,VADER1,0,1,0.1,5,0.125,"{'2020-01-13': (0, 0), '2020-01-14': (0, 0), '2020-01-15': (0, 0), '2020-01-16': (0, 0), '2020-01-17': (0, 0), '2020-01-18': (0, 0), '2020-01-19': (0, 0)}"

NASDAQ,VADER1,0,1,0.1,5,0.15,"{'2018-04-02': (1.0, 4), '2018-04-03': (0.8, 10), '2018-04-04': (0.32, 25), '2018-04-05': (0.4318181818181818, 44), '2018-04-06': (0.6323529411764706, 68), '2018-04-07': (0.6323529411764706, 68), '2018-04-08': (0.6323529411764706, 68), '2018-04-09': (0.6597938144329897, 97)}"

NASDAQ,VADER1,0,1,0.1,5,0.15,"{'2020-01-13': (0.4, 10), '2020-01-14': (0.4642857142857143, 28), '2020-01-15': (0.5272727272727272, 55), '2020-01-16': (0.4588235294117647, 85), '2020-01-17': (0.5084745762711864, 118), '2020-01-18': (0.5084745762711864, 118), '2020-01-19': (0.5084745762711864, 118)}"

NASDAQ,VADER1,0,1,0.1,5,0.15,"{'2018-04-03': (0, 0), '2018-04-04': (0, 0), '2018-04-05': (0, 0), '2018-04-06': (0, 0), '2018-04-07': (0, 0), '2018-04-08': (0, 0)}"

NASDAQ,VADER1,0,1,0.1,5,0.15,"{'2020-01-13': (0, 0), '2020-01-14': (0, 0), '2020-01-15': (0, 0), '2020-01-16': (0, 0), '2020-01-17': (0, 0), '2020-01-18': (0, 0), '2020-01-19': (0, 0)}"

NASDAQ,VADER1,0,1,0.2,2,0.05,"{'2018-04-02': (1.0, 4), '2018-04-03': (0.7, 10), '2018-04-04': (0.28, 25), '2018-04-05': (0.3409090909090909, 44), '2018-04-06': (0.5735294117647058, 68), '2018-04-07': (0.5735294117647058, 68), '2018-04-08': (0.5735294117647058, 68), '2018-04-09': (0.6082474226804123, 97)}"

NASDAQ,VADER1,0,1,0.2,2,0.05,"{'2020-01-13': (0.3, 10), '2020-01-14': (0.35714285714285715, 28), '2020-01-15': (0.43636363636363634, 55), '2020-01-16': (0.4235294117647059, 85), '2020-01-17': (0.5, 118), '2020-01-18': (0.5, 118), '2020-01-19': (0.5, 118)}"

NASDAQ,VADER1,0,1,0.2,2,0.05,"{'2018-04-03': (0, 0), '2018-04-04': (0, 0), '2018-04-05': (0, 0), '2018-04-06': (0, 0), '2018-04-07': (0, 0), '2018-04-08': (0, 0)}"

NASDAQ,VADER1,0,1,0.2,2,0.05,"{'2020-01-13': (0, 0), '2020-01-14': (0, 0), '2020-01-15': (0, 0), '2020-01-16': (0, 0), '2020-01-17': (0, 0), '2020-01-18': (0, 0), '2020-01-19': (0, 0)}"

NASDAQ,VADER1,0,1,0.2,2,0.075,"{'2018-04-02': (1.0, 4), '2018-04-03': (0.7, 10), '2018-04-04': (0.28, 25), '2018-04-05': (0.36363636363636365, 44), '2018-04-06': (0.5882352941176471, 68), '2018-04-07': (0.5882352941176471, 68), '2018-04-08': (0.5882352941176471, 68), '2018-04-09': (0.6288659793814433, 97)}"

NASDAQ,VADER1,0,1,0.2,2,0.075,"{'2020-01-13': (0.3, 10), '2020-01-14': (0.42857142857142855, 28), '2020-01-15': (0.5272727272727272, 55), '2020-01-16': (0.4588235294117647, 85), '2020-01-17': (0.5169491525423728, 118), '2020-01-18': (0.5169491525423728, 118), '2020-01-19': (0.5169491525423728, 118)}"

NASDAQ,VADER1,0,1,0.2,2,0.075,"{'2018-04-03': (0, 0), '2018-04-04': (0, 0), '2018-04-05': (0, 0), '2018-04-06': (0, 0), '2018-04-07': (0, 0), '2018-04-08': (0, 0)}"

NASDAQ,VADER1,0,1,0.2,2,0.075,"{'2020-01-13': (0, 0), '2020-01-14': (0, 0), '2020-01-15': (0, 0), '2020-01-16': (0, 0), '2020-01-17': (0, 0), '2020-01-18': (0, 0), '2020-01-19': (0, 0)}"

NASDAQ,VADER1,0,1,0.2,2,0.1,"{'2018-04-02': (1.0, 4), '2018-04-03': (0.7, 10), '2018-04-04': (0.28, 25), '2018-04-05': (0.36363636363636365, 44), '2018-04-06': (0.5882352941176471, 68), '2018-04-07': (0.5882352941176471, 68), '2018-04-08': (0.5882352941176471, 68), '2018-04-09': (0.6288659793814433, 97)}"

NASDAQ,VADER1,0,1,0.2,2,0.1,"{'2020-01-13': (0.4, 10), '2020-01-14': (0.4642857142857143, 28), '2020-01-15': (0.5272727272727272, 55), '2020-01-16': (0.47058823529411764, 85), '2020-01-17': (0.5338983050847458, 118), '2020-01-18': (0.5338983050847458, 118), '2020-01-19': (0.5338983050847458, 118)}"

NASDAQ,VADER1,0,1,0.2,2,0.1,"{'2018-04-03': (0, 0), '2018-04-04': (0, 0), '2018-04-05': (0, 0), '2018-04-06': (0, 0), '2018-04-07': (0, 0), '2018-04-08': (0, 0)}"

NASDAQ,VADER1,0,1,0.2,2,0.1,"{'2020-01-13': (0, 0), '2020-01-14': (0, 0), '2020-01-15': (0, 0), '2020-01-16': (0, 0), '2020-01-17': (0, 0), '2020-01-18': (0, 0), '2020-01-19': (0, 0)}"

